Rank,Names,Age,WorthPerBillion,Worth,Work Industry,Company Name,Country,State,City,Organization,Self Made,Gender,Date of Birth,Title,Age Group
1053,Frank VanderSloot,73,2.9,2900000000.00,Fashion & Retail,Nutrition WellnessProducts,United States,Idaho,Idaho Falls,Not provided,TRUE,Male,14/08/1948,Chief Executive Officer,Old
53,Ken Griffin,53,27.2,27200000000.00,Finance & Investments,HedgeFunds,United States,Illinois,Chicago,Citadel LLC,TRUE,Male,15/10/1968,Chief Executive Officer and Founder,Middle Aged Adult
284,Patrick Ryan,84,8,8000000000.00,Finance & Investments,Insurance,United States,Illinois,Winnetka,Ryan Specialty Group,TRUE,Male,15/05/1937,Chief Executive Officer and Chairman,Old
438,Sam Zell,80,5.8,5800000000.00,Real Estate,RealEstate PrivateEquity,United States,Illinois,Chicago,Not provided,TRUE,Male,28/09/1941,Chief Executive Officer,Old
460,Joe Mansueto,65,5.7,5700000000.00,Finance & Investments,Investments,United States,Illinois,Chicago,Morningstar Inc.,TRUE,Male,03/09/1956,Entrepreneur,Old
480,Neil Bluhm,84,5.5,5500000000.00,Real Estate,RealEstate,United States,Illinois,Chicago,Not provided,TRUE,Male,12/01/1938,Chief Executive Officer,Old
552,Thomas Pritzker,71,5,5000000000.00,Finance & Investments,Hotels Investments,United States,Illinois,Chicago,Hyatt Hotels,FALSE,Male,06/06/1950,Chairman,Old
665,Mark Walter,61,4.3,4300000000.00,Finance & Investments,Finance,United States,Illinois,Chicago,Guggenheim Partners LLC,TRUE,Male,22/05/1960,Chief Executive Officer,Old
665,Ty Warner,77,4.3,4300000000.00,Real Estate,RealEstate,United States,Illinois,Oak Brook,Not provided,TRUE,Male,03/09/1944,Chief Executive Officer,Old
709,Eric Lefkofsky,52,4.1,4100000000.00,Technology,Groupon Investments,United States,Illinois,Glencoe,Groupon,TRUE,Male,02/09/1969,Chairman,Middle Aged Adult
822,J.B. Pritzker,57,3.6,3600000000.00,Finance & Investments,Hotels Investments,United States,Illinois,Springfield,Not provided,FALSE,Male,19/01/1965,Chief Executive Officer,Middle Aged Adult
951,Penny Pritzker,62,3.2,3200000000.00,Finance & Investments,Hotels Investments,United States,Illinois,Chicago,Not provided,FALSE,Female,02/05/1959,Chief Executive Officer,Old
951,Joseph Grendys,60,3.2,3200000000.00,Food & Beverage,PoultryProcessing,United States,Illinois,Chicago,Not provided,TRUE,Male,01/12/1961,Chief Executive Officer,Middle Aged Adult
1012,Sheldon Lavin,89,3,3000000000.00,Food & Beverage,MeatProcessing,United States,Illinois,Highland Park,Not provided,TRUE,Male,17/06/1932,Chief Executive Officer,Old
1096,Steven Sarowitz,56,2.8,2800000000.00,Technology,PayrollSoftware,United States,Illinois,Highland Park,Not provided,TRUE,Male,07/11/1965,Chief Executive Officer,Middle Aged Adult
1513,Jennifer Pritzker,71,2,2000000000.00,Finance & Investments,Hotels Investments,United States,Illinois,Chicago,Tawani Enterprises,FALSE,Female,13/08/1950,Chief Executive Officer,Old
1645,Jerry Reinsdorf,86,1.8,1800000000.00,Sports,SportsTeams,United States,Illinois,Chicago,Not provided,TRUE,Male,25/02/1936,Chief Executive Officer,Old
1729,Byron Trott,63,1.7,1700000000.00,Finance & Investments,Investments,United States,Illinois,Winnetka,Not provided,TRUE,Male,02/12/1958,Chief Executive Officer,Old
1818,Carl Thoma,73,1.6,1600000000.00,Finance & Investments,Investments,United States,Illinois,Chicago,Not provided,TRUE,Male,12/10/1948,Investor,Old
1929,Michael Polsky,73,1.5,1500000000.00,Energy,ElectricPower,United States,Illinois,Chicago,Not provided,TRUE,Male,01/01/1949,Chief Executive Officer,Old
1929,Matt Hulsizer,64,1.5,1500000000.00,Finance & Investments,Fintech,United States,Illinois,Chicago,Not provided,TRUE,Male,Not provided,Chief Executive Officer,Old
1929,Jenny Just,54,1.5,1500000000.00,Finance & Investments,Fintech,United States,Illinois,Winnetka,Not provided,TRUE,Female,05/03/1968,Chief Executive Officer,Middle Aged Adult
1929,Justin Ishbia,44,1.5,1500000000.00,Finance & Investments,PrivateEquity,United States,Illinois,Chicago,Not provided,FALSE,Male,18/09/1977,Chief Executive Officer,Middle Aged Adult
2076,Matthew Roszak,49,1.4,1400000000.00,Finance & Investments,Cryptocurrency,United States,Illinois,Chicago,Not provided,TRUE,Male,09/12/1972,Chief Executive Officer,Middle Aged Adult
2190,Michael Krasny,68,1.3,1300000000.00,Technology,Retail,United States,Illinois,Highland Park,Sawdust Investment Management Corp.,TRUE,Male,08/08/1953,Investor,Old
2324,Leonid Radvinsky,40,1.2,1200000000.00,Technology,E-commerce,United States,Illinois,Chicago,Not provided,TRUE,Male,05/01/1982,Chief Executive Officer,Young Adult
177,Carl Cook,59,11.1,11100000000.00,Healthcare,MedicalDevices,United States,Indiana,Bloomington,Not provided,FALSE,Male,19/08/1962,Chief Executive Officer,Middle Aged Adult
851,James Irsay,62,3.5,3500000000.00,Sports,IndianapolisColts,United States,Indiana,Carmel,Indianapolis Colts,FALSE,Male,13/06/1959,Chief Executive Officer,Old
851,Herb Simon,87,3.5,3500000000.00,Real Estate,RealEstate,United States,Indiana,Indianapolis,Simon Property Group,TRUE,Male,23/10/1934,Chairman,Old
350,Harry Stine,80,6.9,6900000000.00,Food & Beverage,Agriculture,United States,Iowa,Adel,Not provided,TRUE,Male,30/11/1941,Entrepreneur,Old
21,Charles Koch,86,60,60000000000.00,Diversified,KochIndustries,United States,Kansas,Wichita,Koch Industries,FALSE,Male,01/11/1935,Chief Executive Officer,Old
622,Min Kao & family,73,4.6,4600000000.00,Technology,NavigationEquipment,United States,Kansas,Leawood,Garmin Corporation,TRUE,Male,10/01/1949,Chief Executive Officer and Chairman,Old
251,Tamara Gustavson,60,8.5,8500000000.00,Service,SelfStorage,United States,Kentucky,Lexington,Not provided,FALSE,Female,16/11/1961,Chief Executive Officer,Middle Aged Adult
778,Gayle Benson,75,3.8,3800000000.00,Sports,Sports,United States,Louisiana,New Orleans,Not provided,FALSE,Female,26/01/1947,Chief Executive Officer,Old
1096,Susan Alfond,76,2.8,2800000000.00,Fashion & Retail,Shoes,United States,Maine,Scarborough,Not provided,FALSE,Female,19/07/1945,Chief Executive Officer,Old
431,Stephen Bisciotti,61,5.9,5900000000.00,Sports,Staffing BaltimoreRavens,United States,Maryland,Millersville,Baltimore Ravens,TRUE,Male,10/04/1960,Founder,Old
438,Mitchell Rales,65,5.8,5800000000.00,Manufacturing,Manufacturing Investments,United States,Maryland,Potomac,Not provided,TRUE,Male,21/08/1956,Chief Executive Officer,Old
637,Ted Lerner & family,96,4.5,4500000000.00,Real Estate,RealEstate,United States,Maryland,Chevy Chase,Not provided,TRUE,Male,15/10/1925,Chief Executive Officer,Old
665,Jim Davis,62,4.3,4300000000.00,Service,Staffing Recruiting,United States,Maryland,Cockeysville,Not provided,TRUE,Male,13/03/1960,Chief Executive Officer,Old
728,David Rubenstein,72,4,4000000000.00,Finance & Investments,PrivateEquity,United States,Maryland,Bethesda,Carlyle Group,TRUE,Male,11/08/1949,Cofounder,Old
728,Dan Snyder,57,4,4000000000.00,Sports,WashingtonFootballTeam,United States,Maryland,Potomac,Not provided,TRUE,Male,23/11/1964,Chief Executive Officer,Middle Aged Adult
801,"Bernard Saul, II.",89,3.7,3700000000.00,Finance & Investments,Banking RealEstate,United States,Maryland,Chevy Chase,Saul Centers Inc.,FALSE,Male,15/04/1932,Chief Executive Officer and Chairman,Old
1729,Keith Dunleavy & family,52,1.7,1700000000.00,Healthcare,HealthcareIT,United States,Maryland,Annapolis,Not provided,TRUE,Male,25/06/1969,Chief Executive Officer,Middle Aged Adult
1818,Theodore Leonsis,66,1.6,1600000000.00,Sports,SportsTeams,United States,Maryland,Bethesda,Not provided,TRUE,Male,08/01/1956,Chief Executive Officer,Old
1929,Kevin Plank,49,1.5,1500000000.00,Fashion & Retail,UnderArmour,United States,Maryland,Lutherville-Timonium,Under Armour,TRUE,Male,13/08/1972,Chief Executive Officer and Chairman,Middle Aged Adult
2190,Anthony Casalena,39,1.3,1300000000.00,Technology,Software,United States,Maryland,Monkton,Not provided,TRUE,Male,24/04/1982,Chief Executive Officer,Young Adult
75,Abigail Johnson,60,21.2,21200000000.00,Finance & Investments,MoneyManagement,United States,Massachusetts,Milton,Fidelity Investments,FALSE,Female,19/12/1961,Chief Executive Officer and Chairman,Middle Aged Adult
263,Robert Kraft,80,8.3,8300000000.00,Sports,NewEnglandPatriots,United States,Massachusetts,Brookline,The Kraft Group,TRUE,Male,05/06/1941,Chief Executive Officer and Chairman,Old
403,"Edward Johnson, IV.",57,6.3,6300000000.00,Finance & Investments,MoneyManagement,United States,Massachusetts,Boston,Not provided,FALSE,Male,18/11/1964,Chief Executive Officer,Middle Aged Adult
490,Jim Davis & family,78,5.4,5400000000.00,Manufacturing,NewBalance,United States,Massachusetts,Newton,New Balance ,TRUE,Male,17/05/1943,Chairman,Old
536,Elizabeth Johnson,58,5.1,5100000000.00,Finance & Investments,MoneyManagement,United States,Massachusetts,Boston,Not provided,FALSE,Female,07/05/1963,Chief Executive Officer,Middle Aged Adult
622,Stéphane Bancel,49,4.6,4600000000.00,Healthcare,Biotech,United States,Massachusetts,Boston,Not provided,TRUE,Male,20/07/1972,Chief Executive Officer,Middle Aged Adult
801,"Amos Hostetter, Jr.",85,3.7,3700000000.00,Media & Entertainment,CableTelevision,United States,Massachusetts,Boston,Pilot House Associates,TRUE,Male,12/01/1937,Chairman,Old
951,"Robert Hale, Jr.",55,3.2,3200000000.00,Telecom,Telecom,United States,Massachusetts,Boston,Not provided,TRUE,Male,08/07/1966,Chief Executive Officer,Middle Aged Adult
1053,Alan Trefler,66,2.9,2900000000.00,Technology,Software,United States,Massachusetts,Brookline,Not provided,TRUE,Male,10/03/1956,Chief Executive Officer,Old
1096,Bill Alfond,73,2.8,2800000000.00,Fashion & Retail,Shoes,United States,Massachusetts,Boston,Not provided,FALSE,Male,16/05/1948,Chief Executive Officer,Old
1096,Ted Alfond,77,2.8,2800000000.00,Fashion & Retail,Shoes,United States,Massachusetts,Weston,Not provided,FALSE,Male,19/08/1944,Chief Executive Officer,Old
1341,Frank Laukien,62,2.3,2300000000.00,Manufacturing,ScientificEquipment,United States,Massachusetts,Boston,Not provided,FALSE,Male,04/02/1960,Chief Executive Officer,Old
1445,Timothy Springer,74,2.1,2100000000.00,Healthcare,Biotech,United States,Massachusetts,Chestnut Hill,Not provided,TRUE,Male,23/02/1948,Chief Executive Officer,Old
1513,Herb Chambers,80,2,2000000000.00,Automotive,CarDealerships,United States,Massachusetts,Boston,Not provided,TRUE,Male,01/01/1942,Chief Executive Officer,Old
1645,Phillip T. (Terry) Ragon,72,1.8,1800000000.00,Technology,HealthcareIT,United States,Massachusetts,Boston,Not provided,TRUE,Male,01/06/1949,Chief Executive Officer,Old
1729,Noubar Afeyan,59,1.7,1700000000.00,Healthcare,Biotech,United States,Massachusetts,Lexington,Not provided,TRUE,Male,25/07/1962,Chief Executive Officer,Middle Aged Adult
1729,Patrizio Vinciarelli,75,1.7,1700000000.00,Technology,ElectronicComponents,United States,Massachusetts,Boston,Not provided,TRUE,Male,26/10/1946,Chief Executive Officer,Old
1818,Jim Koch,72,1.6,1600000000.00,Food & Beverage,BeerDistribution,United States,Massachusetts,Newton,Not provided,TRUE,Male,27/05/1949,Chief Executive Officer,Old
1818,Robert Langer,73,1.6,1600000000.00,Healthcare,Biotech,United States,Massachusetts,Boston,Not provided,TRUE,Male,29/08/1948,Chief Executive Officer,Old
1818,George Sakellaris,75,1.6,1600000000.00,Energy,EnergyServices,United States,Massachusetts,Milton,Not provided,TRUE,Male,03/06/1946,Chief Executive Officer,Old
1818,Niraj Shah,48,1.6,1600000000.00,Technology,OnlineRetail,United States,Massachusetts,Boston,Not provided,TRUE,Male,10/03/1974,Chief Executive Officer,Middle Aged Adult
1929,Seth Klarman,64,1.5,1500000000.00,Finance & Investments,Investments,United States,Massachusetts,Chestnut Hill,Baupost Group,TRUE,Male,01/05/1957,Investor,Old
1929,Steve Conine,49,1.5,1500000000.00,Technology,OnlineRetail,United States,Massachusetts,Boston,Not provided,TRUE,Male,28/08/1972,Chief Executive Officer,Middle Aged Adult
2448,Paul Fireman,78,1.1,1100000000.00,Fashion & Retail,Reebok,United States,Massachusetts,Brookline,Not provided,TRUE,Male,14/02/1944,Chief Executive Officer,Old
71,Daniel Gilbert,60,22,22000000000.00,Finance & Investments,QuickenLoans,United States,Michigan,Franklin,Not provided,TRUE,Male,17/01/1962,Chief Executive Officer,Middle Aged Adult
106,Hank & Doug Meijer,64,16.5,16500000000.00,Fashion & Retail,Supermarkets,United States,Michigan,Grand Rapids,Not provided,FALSE,Male,Not provided,Chief Executive Officer,Old
363,Ronda Stryker,67,6.8,6800000000.00,Healthcare,MedicalEquipment,United States,Michigan,Portage,Not provided,FALSE,Female,01/05/1954,Chief Executive Officer,Old
579,Mat Ishbia,42,4.9,4900000000.00,Finance & Investments,MortgageLender,United States,Michigan,Bloomfield Hills,Not provided,FALSE,Male,06/01/1980,Chief Executive Officer,Middle Aged Adult
654,Marian Ilitch,89,4.4,4400000000.00,Food & Beverage,LittleCaesars,United States,Michigan,Bingham Farms,Not provided,TRUE,Female,07/01/1933,Entrepreneur,Old
1053,Roger Penske,85,2.9,2900000000.00,Automotive,Cars,United States,Michigan,Birmingham,Not provided,TRUE,Male,20/02/1937,Chief Executive Officer,Old
1397,William Young,81,2.2,2200000000.00,Manufacturing,Plastics,United States,Michigan,Ypsilanti,Not provided,TRUE,Male,01/01/1941,Chief Executive Officer,Old
1729,Donald Foss,77,1.7,1700000000.00,Automotive,AutoLoans,United States,Michigan,Farmington Hills,Not provided,TRUE,Male,18/06/1944,Chief Executive Officer,Old
1729,Alan Zekelman,59,1.7,1700000000.00,Manufacturing,Steel,United States,Michigan,Bloomfield Hills,Not provided,FALSE,Male,01/10/1962,Chief Executive Officer,Middle Aged Adult
1238,Glen Taylor,80,2.5,2500000000.00,Service,Printing,United States,Minnesota,Mankato,Not provided,TRUE,Male,20/04/1941,Chief Executive Officer,Old
1645,Stanley Hubbard,88,1.8,1800000000.00,Media & Entertainment,TV,United States,Minnesota,St. Paul,"Hubbard Broadcasting, Inc.",FALSE,Male,28/05/1933,Chief Executive Officer and Chairman,Old
1818,John MacMillan,72,1.6,1600000000.00,Food & Beverage,Cargill,United States,Minnesota,Plymouth,Not provided,FALSE,Male,20/09/1949,Chief Executive Officer,Old
1818,Martha MacMillan,70,1.6,1600000000.00,Food & Beverage,Cargill,United States,Minnesota,Orono,Not provided,FALSE,Female,01/10/1951,Chief Executive Officer,Old
2448,Jeffrey Michael & family,65,1.1,1100000000.00,Technology,DataManagement,United States,Minnesota,Minnetonka,Not provided,TRUE,Male,18/07/1956,Chief Executive Officer,Old
1513,James Duff,61,2,2000000000.00,Diversified,Tires Diversified,United States,Mississippi,Hattiesburg,Not provided,TRUE,Male,07/03/1961,Chief Executive Officer,Old
1513,Thomas Duff,65,2,2000000000.00,Diversified,Tires Diversified,United States,Mississippi,Hattiesburg,Not provided,TRUE,Male,31/12/1956,Chief Executive Officer,Old
235,Pauline MacMillan Keinath,88,8.8,8800000000.00,Food & Beverage,Cargill,United States,Missouri,St. Louis,Not provided,FALSE,Female,01/01/1934,Chief Executive Officer,Old
424,John Morris,74,6,6000000000.00,Fashion & Retail,Retail,United States,Missouri,Springfield,Not provided,TRUE,Male,19/03/1948,Chief Executive Officer,Old
438,David Steward,70,5.8,5800000000.00,Technology,ITProvider,United States,Missouri,St. Louis,Not provided,TRUE,Male,02/07/1951,Chief Executive Officer,Old
822,Rodger Riney & family,76,3.6,3600000000.00,Finance & Investments,Brokerage,United States,Missouri,St. Louis,"Scottrade, Inc.",TRUE,Male,01/01/1946,Cofounder,Old
883,Jim Kavanaugh,59,3.4,3400000000.00,Technology,ITProvider,United States,Missouri,St. Louis,Not provided,TRUE,Male,17/10/1962,Chief Executive Officer,Middle Aged Adult
1513,Jim McKelvey,56,2,2000000000.00,Technology,Fintech,United States,Missouri,St. Louis,Not provided,TRUE,Male,19/10/1965,Chief Executive Officer,Middle Aged Adult
1818,Robert Clark,63,1.6,1600000000.00,Construction & Engineering,Construction,United States,Missouri,St. Louis,Not provided,TRUE,Male,30/01/1959,Chief Executive Officer,Old
350,Dennis Washington,87,6.9,6900000000.00,Logistics,Construction Mining,United States,Montana,Missoula,Not provided,TRUE,Male,27/07/1934,Chief Executive Officer,Old
552,"Austen Cargill, II.",71,5,5000000000.00,Food & Beverage,Cargill,United States,Montana,Livingston,Not provided,FALSE,Male,09/03/1951,Chief Executive Officer,Old
552,Marianne Liebmann,68,5,5000000000.00,Food & Beverage,Cargill,United States,Montana,Bozeman,Not provided,FALSE,Female,11/07/1953,Chief Executive Officer,Old
1513,Linda Pritzker,68,2,2000000000.00,Service,Hotels Investments,United States,Montana,Missoula,Not provided,FALSE,Female,14/09/1953,Chief Executive Officer,Old
5,Warren Buffett,91,118,118000000000.00,Finance & Investments,BerkshireHathaway,United States,Nebraska,Omaha,Berkshire Hathaway,TRUE,Male,30/08/1930,Chief Executive Officer,Old
1341,Henry Davis,71,2.3,2300000000.00,Food & Beverage,BeefProcessing,United States,Nebraska,Omaha,Not provided,FALSE,Male,16/02/1951,Chief Executive Officer,Old
2076,Daniel Hirschfeld,80,1.4,1400000000.00,Fashion & Retail,FashionRetail,United States,Nebraska,Kearney,Not provided,FALSE,Male,31/05/1941,Entrepreneur,Old
50,Miriam Adelson,76,27.5,27500000000.00,Gambling & Casinos,Casinos,United States,Nevada,Las Vegas,Not provided,FALSE,Female,10/10/1945,Chief Executive Officer,Old
142,David Duffield,81,12.9,12900000000.00,Technology,BusinessSoftware,United States,Nevada,Incline Village,Workday,TRUE,Male,21/09/1940,Entrepreneur,Old
171,Jay Chaudhry,62,11.4,11400000000.00,Technology,SecuritySoftware,United States,Nevada,Reno,Not provided,TRUE,Male,26/08/1959,Chief Executive Officer,Old
275,Nancy Walton Laurie,70,8.1,8100000000.00,Fashion & Retail,Walmart,United States,Nevada,Henderson,Not provided,FALSE,Female,15/05/1951,Chief Executive Officer,Old
951,Andrew & Peggy Cherng,64,3.2,3200000000.00,Food & Beverage,Restaurants,United States,Nevada,Las Vegas,Not provided,TRUE,Male,Not provided,Chief Executive Officer and Chairman,Old
1196,Eren Ozmen,63,2.6,2600000000.00,Manufacturing,Aerospace,United States,Nevada,Reno,Not provided,TRUE,Female,03/09/1958,Entrepreneur,Old
1196,"Frank Fertitta, III.",60,2.6,2600000000.00,Sports,Casinos MixedMartialArts,United States,Nevada,Las Vegas,Not provided,FALSE,Male,24/02/1962,Chief Executive Officer,Middle Aged Adult
1196,Lorenzo Fertitta,53,2.6,2600000000.00,Sports,Casinos MixedMartialArts,United States,Nevada,Las Vegas,Not provided,FALSE,Male,03/01/1969,Chief Executive Officer,Middle Aged Adult
1238,Fatih Ozmen,64,2.5,2500000000.00,Manufacturing,Aerospace,United States,Nevada,Reno,Not provided,TRUE,Male,02/02/1958,Chief Executive Officer,Old
1341,William Boyd & family,90,2.3,2300000000.00,Gambling & Casinos,Casinos Banking,United States,Nevada,Las Vegas,Not provided,TRUE,Male,04/11/1931,Chief Executive Officer,Old
1513,Phil Ruffin,87,2,2000000000.00,Diversified,Casinos RealEstate,United States,Nevada,Las Vegas,Not provided,TRUE,Male,17/03/1935,Chief Executive Officer,Old
1645,Elaine Wynn,79,1.8,1800000000.00,Gambling & Casinos,Casinos Hotels,United States,Nevada,Las Vegas,"Wynn Las Vegas, LLC",TRUE,Female,28/04/1942,Board Member,Old
2076,"William Foley, II.",77,1.4,1400000000.00,Finance & Investments,Finance,United States,Nevada,Las Vegas,Not provided,TRUE,Male,29/12/1944,Chief Executive Officer,Old
2076,Weili Dai,60,1.4,1400000000.00,Technology,Semiconductors,United States,Nevada,Las Vegas,Marvell Technology Group,TRUE,Female,14/09/1961,Cofounder,Middle Aged Adult
2190,Sehat Sutardja,60,1.3,1300000000.00,Technology,Semiconductors,United States,Nevada,Las Vegas,Not provided,TRUE,Male,09/07/1961,Chief Executive Officer,Middle Aged Adult
2324,John Krystynak,53,1.2,1200000000.00,Media & Entertainment,MobileGames,United States,Nevada,Incline Village,Not provided,TRUE,Male,01/05/1968,Chief Executive Officer,Middle Aged Adult
386,John Overdeck,52,6.5,6500000000.00,Finance & Investments,HedgeFunds,United States,New Jersey,Millburn,Two Sigma,TRUE,Male,21/12/1969,Investor,Middle Aged Adult
418,Rocco Commisso,72,6.1,6100000000.00,Telecom,Telecom,United States,New Jersey,Saddle River,Not provided,TRUE,Male,25/11/1949,Chief Executive Officer,Old
822,Peter Kellogg,79,3.6,3600000000.00,Finance & Investments,Investments,United States,New Jersey,Short Hills,Not provided,FALSE,Male,01/09/1942,Chief Executive Officer,Old
1579,Larry Robbins,52,1.9,1900000000.00,Finance & Investments,HedgeFunds,United States,New Jersey,Alpine,Glenview Capital Management,TRUE,Male,21/10/1969,Investor,Middle Aged Adult
1818,Duncan MacMillan,84,1.6,1600000000.00,Finance & Investments,BloombergLP,United States,New Jersey,Princeton,Not provided,TRUE,Male,17/12/1937,Chief Executive Officer,Old
2324,Michael Price,69,1.2,1200000000.00,Finance & Investments,Investments,United States,New Jersey,Far Hills,MFP Investors Inc.,FALSE,Male,03/07/1952,President,Old
12,Michael Bloomberg,80,82,82000000000.00,Media & Entertainment,BloombergLP,United States,New York,New York,Bloomberg L.P.,TRUE,Male,14/02/1942,Chief Executive Officer,Old
21,Julia Koch & family,59,60,60000000000.00,Diversified,KochIndustries,United States,New York,New York,Not provided,FALSE,Female,12/04/1962,Chief Executive Officer,Middle Aged Adult
37,Stephen Schwarzman,75,34.8,34800000000.00,Finance & Investments,Investments,United States,New York,New York,Blackstone Group,TRUE,Male,14/02/1947,Chief Executive Officer and Chairman,Old
43,Alain Wertheimer,73,31.2,31200000000.00,Fashion & Retail,Chanel,United States,New York,New York,Not provided,FALSE,Male,28/08/1948,Chief Executive Officer,Old
43,Gerard Wertheimer,71,31.2,31200000000.00,Fashion & Retail,Chanel,United States,New York,New York,Not provided,FALSE,Male,09/01/1951,Chief Executive Officer,Old
48,Jim Simons,83,28.6,28600000000.00,Finance & Investments,HedgeFunds,United States,New York,East Setauket,Renaissance Technologies Corp.,TRUE,Male,25/04/1938,Founder,Old
65,Leonard Lauder,89,23.1,23100000000.00,Fashion & Retail,EsteeLauder,United States,New York,New York,The Estée Lauder Companies,FALSE,Male,19/03/1933,Chairman,Old
76,Rupert Murdoch & family,91,20.8,20800000000.00,Media & Entertainment,Newspapers TVNetwork,United States,New York,New York,News Corp,FALSE,Male,11/03/1931,Chief Executive Officer and Chairman,Old
128,Donald Newhouse,92,14.4,14400000000.00,Media & Entertainment,Media,United States,New York,New York,Not provided,FALSE,Male,05/08/1929,Chief Executive Officer,Old
167,Israel Englander,73,11.5,11500000000.00,Finance & Investments,HedgeFunds,United States,New York,New York,"Millennium Management, L.L.C.",TRUE,Male,30/09/1948,Founder,Old
192,"Chase Coleman, III.",46,10.3,10300000000.00,Finance & Investments,Investments,United States,New York,New York,Tiger Global Management,TRUE,Male,21/06/1975,Investor,Middle Aged Adult
197,Leon Black,70,10,10000000000.00,Finance & Investments,PrivateEquity,United States,New York,New York,Not provided,TRUE,Male,31/07/1951,Chief Executive Officer,Old
246,George Soros,91,8.6,8600000000.00,Finance & Investments,HedgeFunds,United States,New York,Katonah,Soros Fund Management LLC,TRUE,Male,12/08/1930,Founder,Old
267,Stephen Ross,81,8.2,8200000000.00,Real Estate,RealEstate,United States,New York,New York,Not provided,TRUE,Male,10/05/1940,Chief Executive Officer,Old
288,Valerie Mars,63,7.9,7900000000.00,Food & Beverage,Candy PetFood,United States,New York,New York,Not provided,FALSE,Female,26/01/1959,Chief Executive Officer,Old
304,Henry Kravis,78,7.7,7700000000.00,Finance & Investments,PrivateEquity,United States,New York,New York,KKR & Co.,TRUE,Male,06/01/1944,Cochairman,Old
316,David Shaw,71,7.5,7500000000.00,Finance & Investments,HedgeFunds,United States,New York,New York,"D. E. Shaw & Co., L.P.",TRUE,Male,29/03/1951,Founder,Old
350,Ralph Lauren,82,6.9,6900000000.00,Fashion & Retail,Apparel,United States,New York,New York,Ralph Lauren,TRUE,Male,14/10/1939,Chairman,Old
363,Stanley Druckenmiller,68,6.8,6800000000.00,Finance & Investments,HedgeFunds,United States,New York,New York,Duquesne Family Office,TRUE,Male,14/06/1953,Founder,Old
363,Jonathan Gray,52,6.8,6800000000.00,Finance & Investments,Investments,United States,New York,New York,Not provided,TRUE,Male,04/02/1970,Chief Executive Officer,Middle Aged Adult
386,Philippe Laffont,54,6.5,6500000000.00,Finance & Investments,HedgeFunds,United States,New York,New York,Coatue Management,TRUE,Male,16/09/1967,Founder,Middle Aged Adult
386,David Siegel,60,6.5,6500000000.00,Finance & Investments,HedgeFunds,United States,New York,Scarsdale,Two Sigma,TRUE,Male,15/07/1961,Investor,Middle Aged Adult
411,Bruce Kovner,77,6.2,6200000000.00,Finance & Investments,HedgeFunds,United States,New York,New York,Caxton Associates LP,TRUE,Male,25/02/1945,Founder,Old
411,Leonard Stern,84,6.2,6200000000.00,Real Estate,RealEstate,United States,New York,New York,"Hartz Mountain Industries, Inc.",FALSE,Male,28/03/1938,Chief Executive Officer and Chairman,Old
438,Ken Langone,86,5.8,5800000000.00,Finance & Investments,Investments,United States,New York,Sands Point,Not provided,TRUE,Male,16/09/1935,Chief Executive Officer,Old
438,Joshua Harris,57,5.8,5800000000.00,Finance & Investments,PrivateEquity,United States,New York,New York,Not provided,TRUE,Male,29/12/1964,Chief Executive Officer,Middle Aged Adult
480,Jane Lauder,49,5.5,5500000000.00,Fashion & Retail,EsteeLauder,United States,New York,New York,Not provided,FALSE,Female,01/01/1973,Chief Executive Officer,Middle Aged Adult
490,Charles Dolan & family,95,5.4,5400000000.00,Media & Entertainment,CableTelevision,United States,New York,Oyster Bay,Cablevision Systems Corp.,TRUE,Male,16/10/1926,Founder and Chairman,Old
523,James Chambers,64,5.2,5200000000.00,Media & Entertainment,Media Automotive,United States,New York,Palisades,Not provided,FALSE,Male,12/04/1957,Chief Executive Officer,Old
523,Katharine Rayner,77,5.2,5200000000.00,Media & Entertainment,Media Automotive,United States,New York,East Hampton,Not provided,FALSE,Female,12/01/1945,Chief Executive Officer,Old
523,Margaretta Taylor,79,5.2,5200000000.00,Media & Entertainment,Media Automotive,United States,New York,Southampton,Not provided,FALSE,Female,15/04/1942,Chief Executive Officer,Old
552,Ronald Lauder,78,5,5000000000.00,Fashion & Retail,EsteeLauder,United States,New York,New York,Not provided,FALSE,Male,26/02/1944,Chief Executive Officer,Old
552,Daniel Ziff,50,5,5000000000.00,Finance & Investments,Investments,United States,New York,New York,Not provided,FALSE,Male,02/11/1971,Chief Executive Officer,Middle Aged Adult
552,Robert Ziff,55,5,5000000000.00,Finance & Investments,Investments,United States,New York,New York,Not provided,FALSE,Male,12/08/1966,Chief Executive Officer,Middle Aged Adult
552,Scott Shleifer,44,5,5000000000.00,Finance & Investments,PrivateEquity,United States,New York,New York,Tiger Global Management,TRUE,Male,14/06/1977,Investor,Middle Aged Adult
586,"Julian Robertson, Jr.",89,4.8,4800000000.00,Finance & Investments,HedgeFunds,United States,New York,Locust Valley,Not provided,TRUE,Male,25/06/1932,Chief Executive Officer,Old
586,Marc Rowan,59,4.8,4800000000.00,Finance & Investments,PrivateEquity,United States,New York,New York,Not provided,TRUE,Male,19/08/1962,Chief Executive Officer,Middle Aged Adult
622,Tony Tamer,64,4.6,4600000000.00,Finance & Investments,PrivateEquity,United States,New York,New York,Not provided,TRUE,Male,12/10/1957,Chief Executive Officer,Old
